ds,yhat,yhat_lower,yhat_upper
1997-01-01,4000471.709775887,3577885.0867972765,4421377.10735174
1998-01-01,4359002.28018449,3945708.335896581,4776157.091781947
1999-01-01,4717449.779283048,4313934.502660749,5161742.634516472
2000-01-01,5075897.244862593,4665636.314307306,5489047.511058102
2001-01-01,5124787.096774575,4712301.981752118,5572775.168930733
2002-01-01,5139806.443605757,4729163.2256397465,5555181.445383574
2003-01-01,5154662.396663079,4725891.124713872,5576655.114905084
2004-01-01,5169355.354520674,4755438.598515853,5610540.463743281
2005-01-01,5183963.822822441,4759197.677859956,5631369.181424035
2006-01-01,5198532.009504108,4760901.798558486,5602700.336388574
2007-01-01,5213100.2242170945,4785028.9606774645,5631023.7159162415
2008-01-01,5227668.475076701,4857510.048202904,5650704.997051181
2009-01-01,5266233.836040029,4848945.109347415,5690685.768730238
2010-01-01,5304693.827164661,4871099.6512932675,5728261.99226854
2011-01-01,5343153.818289293,4948319.331618532,5779680.944086079
2012-01-01,5381613.809413925,4987010.614987878,5802702.328504084
2013-01-01,5420179.1703772545,5002555.255973028,5818645.627694928
2014-01-01,5458639.161501886,5004217.285529838,5866804.094391104
2015-01-01,5497099.152626518,5023852.013253231,5970805.623153388
2016-01-01,5535559.14375115,4997338.734113273,6095996.656498679
2017-01-01,5574124.50471448,4887717.728825962,6228246.985695344
2018-01-01,5612584.4958391115,4785245.87802804,6407777.226211363
